Ward Name,Street Name,Longitude,Latitude,Area (m²),Width (m),Length (m),Land Type,Legal Status,House Direction,Property Features,Price
Xã Hòa Sơn,Phú thượng ,108.11322,16.0452,100.0,5.0,20.0,1,1,6.0,"['2', ' 6']",500000000
Xã Hòa Tiến,dt 605,108.172516,15.97223,120.0,5.0,20.0,1,1,4.0,['1'],500000005
Xã Hòa Tiến,Đường tỉnh 605,108.18168,15.968948,90.0,5.0,18.0,1,1,8.0,"['1', ' 3', ' 6']",520000000
Xã Hòa Tiến,DT605,108.172516,15.97223,160.0,5.0,32.0,1,1,4.0,"['1', ' 2']",585000000
Xã Hòa Sơn,Quốc Lộ,108.11322,16.0452,100.0,5.0,20.0,1,1,8.0,['6'],600000000
Xã Hòa Phong,Đường Bê Tông 4m Oto,108.12508,15.987646,309.0,10.0,28.0,4,1,8.0,"['1', ' 2']",600000000
Xã Hòa Phú,Đường Quốc Lộ 14G,107.978966,15.956945,120.0,5.0,24.0,1,1,6.0,['3'],680000000
Xã Hòa Phước,1a,108.21106,15.966055,100.0,3.0,34.0,1,1,2.0,['3'],680000000
Xã Hòa Khương,Đường Bê Tông Oto,108.101364,15.955791,120.0,6.6999,19.0,1,1,7.0,"['2', ' 3', ' 6']",680000000
Xã Hòa Tiến,DT 605,108.172516,15.97223,110.0,5.0,22.0,1,1,2.0,"['1', ' 6']",690000000
Xã Hòa Nhơn,4m,108.12508,16.010254,150.0,5.0,30.0,1,1,3.0,"['1', ' 2']",690000000
Xã Hòa Tiến,DT605,108.172516,15.97223,110.0,5.0,22.0,1,1,1.0,['1'],700000000
Xã Hòa Khương,La Châu,108.101364,15.955791,126.0,5.0,26.0,1,1,5.0,['1'],710000000
Xã Hòa Phong,Đường Quốc lộ 14B mở rộng,108.13947,15.969104,132.0,6.0,22.0,1,1,6.0,['3'],730000000
Xã Hòa Phong,Đường Bê Tông Gần Quốc Lộ 14B,108.12508,15.987646,127.0,5.6999,22.0,1,1,6.0,"['2', ' 3', ' 6']",740000000
Xã Hòa Nhơn,Đường Bê Tông Oto,108.12508,16.010254,120.0,6.0,20.0,1,1,4.0,"['2', ' 3', ' 6']",750000000
Xã Hòa Phước,Đường Quốc lộ 1,108.20815,15.980089,120.0,6.09,16.0,1,1,6.0,"['1', ' 2', ' 3']",750000000
Xã Hòa Tiến,Dt605,108.172516,15.97223,100.0,5.0,20.0,1,1,7.0,"['1', ' 3', ' 6']",750000000
Xã Hòa Phong,604 Và 14B,108.12508,15.987646,122.0,6.0,20.0,1,1,6.0,"['1', ' 2']",770000000
Xã Hòa Phong,Đường Bê Tông Oto,108.12508,15.987646,120.0,6.75,17.0,1,1,4.0,"['2', ' 3', ' 6']",790000000
Xã Hòa Phước,Tân Hạnh,108.21106,15.966055,130.0,5.0,26.0,1,1,3.0,['2'],790000000
Xã Hòa Phong,Đường Bê Tông Oto Tông,108.12508,15.987646,120.0,6.75,17.0,1,1,4.0,"['1', ' 2', ' 3', ' 6']",790000000
Xã Hòa Tiến,Hòa Tiến,108.16914,15.959045,162.0,5.0,22.0,1,1,7.0,['3'],790000000
Xã Hòa Ninh,ĐT.602,108.0604,16.024,207.0,4.4,39.0,1,1,3.0,['2'],790000000
Xã Hòa Phước,Đường Quốc lộ 1,108.20815,15.980089,130.0,5.0,26.0,1,1,6.0,['1'],800000000
Xã Hòa Khương,Phú Sơn 1,108.101364,15.955791,129.0,5.0,25.8,1,1,5.0,['3'],825000000
Xã Hòa Tiến,605,108.172516,15.97223,130.0,5.0,27.0,1,1,8.0,['3'],880000000
Xã Hòa Phong,Thôn Cẩm Toại Tây,108.12508,15.987646,125.0,7.0,18.0,1,1,7.0,['6'],930000000
Xã Hòa Tiến,Đường tỉnh 605,108.18168,15.968948,136.0,7.0,19.5,1,1,6.0,['1'],950000000
Xã Hòa Tiến,Dt605,108.172516,15.97223,95.0,5.0,19.0,1,1,7.0,['2'],990000000
Xã Hòa Phú,Đường Quốc Lộ 14G,107.978966,15.956945,227.0,5.0998,40.46999999999999,1,1,7.0,"['1', ' 2', ' 3', ' 6']",990000000
Xã Hòa Bắc,Đường Bê Tông 4m Oto.,107.982796,16.117985,200.0,10.0,19.0,1,1,7.0,"['1', ' 2', ' 3', ' 5']",990000000
Xã Hòa Phong,Thôn Tân An,108.12508,15.987646,120.0,5.0,24.0,1,1,7.0,['3'],1000000000
Xã Hòa Sơn,Đường An Ngãi Tây 1,108.09978,16.068602,150.0,5.0,30.0,1,1,4.0,"['2', ' 3', ' 6']",1000000000
Xã Hòa Phong,Đường Oto Gần Đường Chính,108.12508,15.987646,125.0,5.0,24.0,1,1,2.0,"['2', ' 3', ' 6']",1000000000
Xã Hòa Sơn,Dh2,108.11322,16.0452,120.0,5.0,24.0,1,1,8.0,['3'],1020000000
Xã Hòa Phong,Đường Bê Tông Oto,108.12508,15.987646,120.0,5.6999,21.0,1,1,5.0,"['2', ' 6']",1050000000
Xã Hòa Sơn,Xuân Phú,108.11322,16.0452,155.0,5.5,28.0,1,1,5.0,"['1', ' 2']",1050000000
Xã Hòa Phong,Khuong My,108.12508,15.987646,309.0,10.0,40.46999999999999,4,1,7.0,['1'],1050000000
Xã Hòa Tiến,Dt 605,108.172516,15.97223,133.8999,8.5,16.0,1,1,6.0,['2'],1050000000
Xã Hòa Tiến,605,108.172516,15.97223,125.0,5.0,25.0,1,1,4.0,['3'],1050000000
Xã Hòa Tiến,Đường La Bông 5,108.180016,15.96915,124.5998,5.0,24.91996,1,1,5.0,['3'],1050000000
Xã Hòa Sơn,DH2,108.11322,16.0452,153.0,5.0,30.6,1,1,5.0,['3'],1050000000
Xã Hòa Sơn,Phú Thượng,108.11322,16.0452,120.0,6.0,20.0,1,1,7.0,['1'],1050000000
Xã Hòa Tiến,Be Tông 5m,108.172516,15.97223,167.0,5.0,34.0,1,1,8.0,['3'],1090000000
Xã Hòa Ninh,Đường 5.5m,108.01244,16.048275,136.3,6.65,23.53,1,1,1.0,"['2', ' 3', ' 6']",1090000000
Xã Hòa Phước,Đường Quốc lộ 1,108.20815,15.980089,135.0,9.0,17.0,1,1,6.0,"['1', ' 2', ' 3']",1090000000
Xã Hòa Tiến,605,108.172516,15.97223,134.0,5.1999,24.0,1,1,1.0,['3'],1100000000
Xã Hòa Tiến,DT605,108.172516,15.97223,308.0,9.5,30.0,1,1,6.0,['2'],1100000000
Xã Hòa Tiến,Đường tỉnh 605,108.18168,15.968948,150.0,6.0,25.0,1,1,5.0,['2'],1100000000
Xã Hòa Châu,Thôn Quang Châu,108.19327,15.9845495,125.0,5.0,25.0,1,1,4.0,"['1', ' 3', ' 6']",1100000000
Xã Hòa Bắc,Hoà Liên,107.982796,16.117985,309.0,10.0,40.0,1,1,6.0,['1'],1111111111
Xã Hòa Sơn,Dh2,108.11322,16.0452,150.0,7.6999,19.53,1,1,6.0,['2'],1120000000
Xã Hòa Nhơn,Đường Bê Tông Oto,108.12508,16.010254,130.0,6.5,20.0,1,1,6.0,"['2', ' 3', ' 6']",1130000000
Xã Hòa Châu,605,108.19327,15.9845495,124.0,5.3,23.0,1,1,3.0,['3'],1150000000
Xã Hòa Ninh,DT602,108.01244,16.048275,120.0,5.0,24.0,1,1,8.0,"['6', ' 2']",1150000000
Xã Hòa Liên,Đường Nguyễn Tất Thành,108.092766,16.07652,93.0,5.0,17.0,1,1,1.0,"['1', ' 2', ' 3', ' 6']",1150000000
Phường Hòa Phát,Nguyễn Công triều nối dài ,108.172516,16.028736,309.0,10.0,25.0,4,1,4.0,"['2', ' 4']",1150000000
Xã Hòa Phước,Đường Quốc lộ 1,108.20815,15.980089,120.0,6.3,19.0,1,1,4.0,"['1', ' 2']",1170000000
Xã Hòa Tiến,Đường tỉnh 605,108.18168,15.968948,120.0,5.0,24.0,1,1,8.0,['3'],1180000000
Xã Hòa Tiến,Đường tỉnh 605,108.18168,15.968948,119.0,5.0,24.0,1,1,8.0,['1'],1180000000
Phường Hòa Thọ Tây,3m,108.17548,16.0087,81.0,4.5,18.0,1,1,2.0,"['2', ' 3', ' 6']",1180000000
Phường Hòa Thọ Tây,3m,108.1753,16.0086,81.0,4.5,18.0,1,1,6.0,"['1', ' 2', ' 6']",1180000000
Xã Hòa Ninh,Dt602,108.01244,16.048275,116.8,5.0,23.36,1,1,4.0,['1'],1180000000
Xã Hòa Tiến,La Bông,108.172516,15.97223,111.0,5.0,22.2,1,1,8.0,['1'],1200000000
Xã Hòa Phú,Đường Nhựa,108.01244,15.980415,121.0,7.42,16.8899,1,1,7.0,"['1', ' 3', ' 6']",1200000000
Xã Hòa Phước,Đường Quốc lộ 1,108.20815,15.980089,150.0,5.0,30.0,1,1,7.0,['1'],1200000000
Xã Hòa Phước,Đường Quốc lộ 1,108.20815,15.980089,132.0,5.0,26.5,1,1,7.0,['2'],1200000000
Xã Hòa Tiến,Đường tỉnh 605,108.18168,15.968948,150.0,5.0,30.0,1,1,7.0,['3'],1220000000
Xã Hòa Phú,Đường Nhựa 2 Oto,108.01244,15.980415,221.0,5.5,40.0,1,1,6.0,"['1', ' 2', ' 6']",1230000000
Xã Hòa Ninh,Hoà Ninh 1,108.01244,16.048275,95.0,5.0,19.0,1,1,8.0,['1'],1230000000
Phường Hòa Phát,Đường Trường Chinh,108.19334,16.017275,50.0,5.0,10.0,1,1,7.0,"['2', ' 3']",1240000000
Xã Hòa Phú,"Đường 5,5m",108.01244,15.980415,150.0,6.0,25.0,1,1,8.0,"['2', ' 3', ' 6']",1250000000
Xã Hòa Phú,Đường Nhựa 5m Oto,108.01244,15.980415,309.0,6.3,18.0,1,1,6.0,"['1', ' 3']",1250000000
Xã Hòa Châu,1A,108.19327,15.9845495,120.0,5.0,24.0,1,1,6.0,['1'],1250000000
Xã Hòa Ninh,Dt602,108.01244,16.048275,99.0,5.0,19.7999,1,1,8.0,['1'],1250000000
Xã Hòa Phước,Kiệt Trà Kiểm,108.21106,15.966055,120.0,5.0,24.0,1,1,5.0,"['2', ' 3']",1270000000
Xã Hòa Ninh,đường 5,108.01244,16.048275,95.0,5.0,19.0,1,1,6.0,['3'],1270000000
Xã Hòa Phú,Đường Nhựa 7.5m,108.01244,15.980415,309.0,10.0,35.0,1,1,7.0,"['2', ' 3', ' 5']",1290000000
Xã Hòa Phước,Đường Quốc lộ 1,108.2086,15.9728,150.0,5.0,30.0,1,1,1.0,"['1', ' 2', ' 6']",1290000000
Xã Hòa Ninh,"Đường Nhựa 5,5m",108.01244,16.048275,97.0,7.5998,13.56,1,1,4.0,"['1', ' 6']",1290000000
Xã Hòa Châu,Quang CHÂU,108.20253,15.997374,120.0,5.0,25.0,1,1,6.0,['2'],1300000000
Xã Hòa Sơn,Phú Thượng,108.11322,16.0452,154.0,10.0,15.3999,1,1,1.0,['3'],1300000000
Xã Hòa Tiến,Nam Kì Khỏi Nghĩa Nối Dài,108.172516,15.97223,108.0,6.6999,17.0,1,1,5.0,"['3', ' 2']",1300000000
Xã Hòa Châu,Thôn Tân An,108.19327,15.9845495,100.0,5.0,20.0,1,1,1.0,['3'],1300000000
Xã Hòa Ninh,"Đường 5,5 M",108.01244,16.048275,100.0,5.0,20.0,2,1,6.0,['1'],1320000000
Phường Hòa Thọ Tây,Đường Nguyễn Phú Hường,108.163345,16.004066,100.0,5.0,20.0,1,1,3.0,['2'],1320000000
Xã Hòa Châu,Đường Quốc lộ 1,108.19277,15.99378,120.0,5.0,24.0,2,1,8.0,['2'],1350000000
Xã Hòa Châu,Đường Quốc lộ 1,108.19277,15.99378,120.0,5.0,24.0,1,1,2.0,"['1', ' 2']",1350000000
Xã Hòa Bắc,Đường Quy Hoạch,107.982796,16.117985,309.0,10.0,24.0,1,1,6.0,"['1', ' 2', ' 3', ' 6']",1350000000
Xã Hòa Liên,Đường Nguyễn Tất Thành,108.092766,16.07652,167.0,5.1999,32.33,1,1,2.0,['1'],1350000000
Xã Hòa Châu,Quan Châu ,108.19327,15.9845495,120.0,5.0,24.0,1,1,6.0,['1'],1350000000
Xã Hòa Phước,Thôn Giáng Nam 2,108.21106,15.966055,93.0,4.0,23.0,1,1,5.0,['1'],1350000000
Xã Hòa Phong,Đường Oto,108.12508,15.987646,144.0,6.0,24.0,1,1,2.0,"['1', ' 2', ' 3', ' 6']",1350000000
Xã Hòa Tiến,605,108.172516,15.97223,160.0,8.0,20.0,1,1,7.0,['3'],1350000000
Xã Hòa Phong,Đường Quốc lộ 14G,108.11621,15.984282,144.0,5.0,28.8,1,1,3.0,['1'],1350000000
Phường Hòa Phát,Tôn đản ,108.1725,16.0286,280.0,10.0,20.0,4,5,6.0,"['4', ' 1']",1350000000
Xã Hòa Ninh,dt602,108.0671,16.0373,115.0,5.0,23.0,1,1,6.0,['1'],1370000000
Xã Hòa Châu,Quang Châu,108.20253,15.997374,100.0,5.0,20.0,1,1,5.0,['2'],1380000000
Phường Hoà Quý,Đường Bình Kỳ,108.23845,16.000658,81.0,10.0,13.67,1,1,2.0,"['2', ' 3', ' 6']",1390000000
Xã Hòa Phú,Đường Bê Tông Oto,108.01244,15.980415,309.0,10.0,16.0,1,1,3.0,"['1', ' 2', ' 3', ' 5']",1400000000
Phường Hòa Hiệp Nam,Số 5,108.13014,16.09606,85.0,5.0,17.0,1,1,7.0,['1'],1400000000
Xã Hòa Phú,Đường Bà Nà Suối Mơ,108.07217,16.016275,309.0,10.0,33.333333333333336,1,1,6.0,['3'],1400000000
Xã Hòa Khương,"Đường Nhựa 5,5m",108.101364,15.955791,150.0,6.0,25.0,1,1,4.0,"['1', ' 3', ' 6']",1400000000
Xã Hòa Châu,Đường Chính,108.19327,15.9845495,100.0,5.0,20.0,1,1,2.0,['1'],1400000000
Phường Hòa Thọ Tây,Đường Nguyễn Phú Hường,108.163345,16.004066,100.0,5.0,20.0,1,1,7.0,['2'],1400000000
Xã Hòa Ninh,Đường Nhựa 7.5m,108.01244,16.048275,117.5,5.0,23.5,1,1,7.0,"['1', ' 2', ' 3', ' 6']",1410000000
Xã Hòa Châu,Phong Nam,108.19327,15.9845495,120.0,8.1997,15.0,1,1,3.0,['2'],1420000000
Xã Hòa Tiến,Đường tỉnh 605,108.18168,15.968948,128.0,5.0,26.0,1,1,8.0,['1'],1420000000
Phường Hòa Thọ Tây,Kiệt 32 Đường Trường Sơn,108.17548,16.0087,68.0,4.5,15.0,1,1,7.0,"['2', ' 3']",1450000000
Xã Hòa Phước,Tân Hạnh ,108.21106,15.966055,200.0,10.0,18.0,1,1,8.0,"['3', ' 2']",1450000000
Phường Hòa Hiệp Bắc,Đường Nguyễn Văn Cừ,108.12177,16.12288,162.0,4.5,36.0,1,1,2.0,['3'],1450000000
Xã Hòa Liên,Đường Hòa Liên,108.10296,16.089296,150.0,5.0,30.0,1,1,8.0,['2'],1468000000
Phường Hoà Quý,Đường Mai Đăng Chơn,108.24111,15.986198,100.0,5.0,20.0,1,1,6.0,"['2', ' 1', ' 6']",1470000000
Xã Hòa Ninh,Đỗ Chính,108.01244,16.048275,125.0,5.0,25.0,1,1,7.0,['1'],1480000000
Phường Hoà Quý,Đường Lưu Quang Vũ,108.22939,15.970337,83.0,5.0,16.6,1,1,5.0,"['2', ' 5']",1480000000
Phường Hoà Hải,Đường Trần Đại Nghĩa,108.25596,15.983155,80.0,5.0,16.0,2,1,1.0,['2'],1480000000
Xã Hòa Tiến,Thôn Lệ Sơn Nam,108.172516,15.97223,113.0,4.9,22.3799,1,1,8.0,"['2', ' 3']",1500000000
Phường Hoà Quý,Đường Mai Đăng Chơn,108.2409,15.9861,84.0,4.5,19.0,1,1,2.0,['2'],1530000000
Xã Hòa Phước,Miếu Bông,108.21106,15.966055,100.0,5.0,20.0,1,1,6.0,['3'],1550000000
Xã Hòa Châu,Đường Quốc lộ 1,108.2041,15.9836,100.0,5.0,20.0,1,1,3.0,"['6', ' 1', ' 2']",1550000000
Xã Hòa Liên,Đường Hoà Liên 5,108.10685,16.093761,118.0,5.0,23.7999,2,1,6.0,['1'],1550000000
Phường Hoà Quý,Đường Bình Kỳ,108.23845,16.000658,82.0,5.5,15.8999,1,1,8.0,"['2', ' 3']",1560000000
Phường Hòa Thọ Đông,Đường Trần Ngọc Sương,108.19438,16.00425,71.0,9.6,7.5,1,1,6.0,"['1', ' 2', ' 6']",1570000000
Phường Hòa Thọ Đông,Đường Trần Ngọc Sương,108.19438,16.00425,71.5,9.6,7.5,1,1,8.0,"['1', ' 2', ' 3', ' 6']",1570000000
Xã Hòa Phước,Ql1A,108.21106,15.966055,131.0,5.0,26.0,1,1,3.0,['6'],1585000000
Xã Hòa Sơn,Đại La 4,108.11322,16.0452,121.0,5.0,24.0,1,1,6.0,"['6', ' 1']",1590000000
Phường Hòa Khánh Nam,Nam Cao Nối Dài,108.148796,16.053411,65.0,5.0,13.0,1,1,1.0,['2'],1590000000
Xã Hòa Phú,Đường Quốc Lộ 14G,107.978966,15.956945,309.0,5.0,40.46999999999999,3,1,7.0,['1'],1590000000
Xã Hòa Tiến,Yên Nê,108.172516,15.97223,168.0,5.0,33.6,1,1,4.0,['2'],1600000000
Xã Hòa Phú,Vành Đai,108.01244,15.980415,309.0,10.0,25.0,1,1,6.0,['2'],1600000000
Xã Hòa Phú,Đường Bê Tông Oto,108.01244,15.980415,309.0,10.0,25.0,1,1,6.0,"['2', ' 3', ' 5']",1600000000
Xã Hòa Phước,Đường Quốc lộ 1,108.20815,15.980089,135.0,5.0,27.0,1,1,5.0,['2'],1600000000
Phường Hòa An,Nhơn Hòa ,108.17677,16.044338,281.0,10.0,23.7999,1,1,1.0,['2'],1630000000
Xã Hòa Liên,Đường Nguyễn Công Thái,108.09885,16.092146,100.0,5.0,20.0,1,1,6.0,['1'],1650000000
Phường Hoà Quý,Đường Mai Đăng Chơn,108.24111,15.986198,85.0,5.0,17.0,1,1,3.0,['2'],1650000000
Xã Hòa Châu,Đường Quốc lộ 1,108.19277,15.99378,160.0,5.0,32.0,1,1,2.0,"['1', ' 3', ' 2', ' 6']",1650000000
Xã Hòa Ninh,Đường Vành đai phía tây Đà Nẵng,108.05818,16.023527,117.5,5.0,23.5,2,1,7.0,"['1', ' 6']",1650000000
Phường Hoà Quý,Võ Chí Công,108.23758,15.99107,90.0,6.0,15.0,1,1,1.0,['3'],1650000000
Phường Hòa Khánh Nam,Đường Nam Cao,108.15003,16.066383,100.0,5.0,20.0,1,1,8.0,['3'],1650000000
Xã Hòa Nhơn,"Đường Quy Hoạch 5,5m",108.12508,16.010254,150.0,5.0,30.0,1,1,5.0,"['1', ' 3', ' 6']",1670000000
Xã Hòa Ninh,"Đường Nhựa 5,5m",108.01244,16.048275,309.0,10.0,18.0,1,1,7.0,"['2', ' 3', ' 6']",1670000000
Phường Hòa Phát,Đường Trường Chinh,108.19334,16.017275,98.0,4.0,24.5,1,1,5.0,['3'],1690000000
Xã Hòa Nhơn,Đường cao tốc Đà Nẵng - Quảng Ngãi,108.15188,16.000765,309.0,10.0,17.0,1,1,6.0,['1'],1700000000
Phường Hòa Minh,Đường Ngô Chân Lưu,108.16818,16.060732,74.0,5.9,12.54237288135593,1,1,7.0,"['2', ' 3', ' 6']",1700000000
Phường Hoà Quý,Đường Bình Kỳ,108.23845,16.000658,90.0,4.5,20.0,1,1,8.0,['2'],1700000000
Phường Hoà Hải,Đường Nguyễn Duy Trinh,108.267044,15.990404,80.0,6.0,14.0,1,1,8.0,['2'],1700000000
Phường Hoà Hải,fpt,108.26741,15.986558,80.0,5.0,16.0,2,1,1.0,['2'],1700000000
Phường Hòa Minh,Đường Ngô Chân Lưu,108.16818,16.060732,74.0999,4.03,18.387071960297767,1,1,7.0,['3'],1700000000
Phường Hoà Quý,Kiệt Lưu Quang Vũ,108.23342,15.982958,92.0,6.0,15.333333333333334,1,1,7.0,['3'],1720000000
Xã Hòa Phước,Ông Khuế,108.21106,15.966055,108.0,6.0,18.0,1,1,3.0,['1'],1720000000
Phường Hoà Quý,Đường Mai Đăng Chơn,108.24111,15.986198,117.0,6.1999,18.0,1,1,8.0,['1'],1750000000
Xã Hòa Phước,Tân Hạnh ,108.21106,15.966055,150.0,9.8999,15.0,1,1,3.0,['2'],1750000000
Xã Hòa Châu,Quan Châu,108.19327,15.9845495,175.0,8.0,22.0,1,2,4.0,['1'],1750000000
Phường Hòa Hiệp Bắc,Đường Ngô Xuân Thu,108.11437,16.119226,80.0,8.0,8.0,1,1,6.0,['2'],1750000000
Xã Hòa Phước,Quá Giáng 2,108.21106,15.966055,131.1999,5.0,26.239980000000003,1,1,4.0,['1'],1750000000
Phường Hoà Hải,Lưu Quang Vũ,108.25426,15.97843,90.0,6.0,15.0,1,1,7.0,"['2', ' 3', ' 6']",1750000000
Xã Hòa Phước,1A,108.21106,15.966055,108.0,6.0,18.0,1,1,4.0,['1'],1750000000
Xã Hòa Tiến,605,108.172516,15.97223,102.0,4.5,23.0,1,1,4.0,['3'],1750000000
Phường Hòa Phát,Đường Trường Chinh,108.19334,16.017275,83.5999,6.11,13.39,1,1,8.0,['3'],1750000000
Xã Hòa Nhơn,Đường Bê Tông Oto,108.12508,16.010254,100.0,5.0,20.0,1,1,4.0,"['1', ' 2', ' 6']",1750000000
Xã Hòa Châu,DT 605,108.19327,15.9845495,170.0,5.1999,33.0,1,1,5.0,"['1', ' 6']",1750000000
Phường Hòa Thọ Đông,Đường Nguyễn Xuân Hữu,108.20326,16.012152,75.0,7.5,10.0,1,1,8.0,"['1', ' 2', ' 6']",1770000000
Phường Hòa Thọ Đông,Đường Trần Ngọc Sương,108.19232,16.001102,74.0,5.0,14.0,1,1,8.0,['2'],1770000000
Phường Hoà Hải,Đường Lê Văn Hiến,108.2574,16.0094,103.0,4.5,23.0,1,1,1.0,"['2', ' 3', ' 6']",1780000000
Xã Hòa Sơn,Đường An Ngãi 1,108.1115,16.073261,100.0,5.0,20.0,2,1,2.0,['1'],1790000000
Phường Hoà Quý,Đường Bình Kỳ,108.23845,16.000658,84.0,4.0999,20.0,1,1,6.0,['2'],1790000000
Phường Hoà Quý,Đường Bình Kỳ,108.23845,16.000658,110.0,5.0,22.0,1,2,7.0,['2'],1800000000
Phường Hoà Quý,Kiệt Bình Kỳ,108.23342,15.982958,112.0,5.0,22.4,1,1,7.0,['3'],1800000000
Phường Hoà Quý,Đường Bình Kỳ,108.23845,16.000658,110.0,5.0,21.0,1,1,7.0,['2'],1800000000
Xã Hòa Sơn,Hoàng Văn Thái,108.11322,16.0452,95.0,6.0,15.8,1,1,8.0,['3'],1800000000
Phường Hoà Quý,Đường Bình Kỳ,108.23845,16.000658,85.0,4.0,21.0,1,1,1.0,['2'],1800000000
Phường Hoà Quý,Kiệt Bê Tông 5 m Đường Lưu Quang Vũ ,108.23342,15.982958,100.0,5.0,20.0,1,1,3.0,['2'],1800000000
Xã Hòa Nhơn,Đường Bê Tông Oto,108.12508,16.010254,309.0,10.0,30.0,1,1,3.0,"['2', ' 5']",1800000000
Phường Hoà Quý,Đường Bình Kỳ,108.23845,16.000658,85.0,4.0999,21.0,1,1,1.0,['2'],1800000000
Xã Hòa Phú,Thôn Đồng lâm,108.01244,15.980415,309.0,5.0,40.46999999999999,1,1,8.0,['3'],1800000000
Xã Hòa Nhơn,Đường Dh2,108.12508,16.010254,150.0,6.0,25.0,1,1,5.0,"['2', ' 3', ' 6']",1820000000
Phường Hòa Khánh Nam,Đường Hoàng Văn Thái,108.15827,16.053888,92.4,4.3,19.42,1,1,6.0,"['2', ' 3']",1850000000
Phường Hòa Thọ Tây,Đường Tôn Đản,108.18984,16.016174,83.0999,5.0,16.61998,1,1,2.0,['2'],1850000000
Phường Hòa Khánh Nam,Đường Phạm Như Xương,108.14609,16.066654,64.0,10.0,6.0,1,1,4.0,['3'],1850000000
Phường Hòa Thọ Tây,Đường Tôn Đản,108.18984,16.016174,83.0,5.0,16.6,1,1,1.0,['2'],1850000000
Phường Hòa Thọ Tây,Đường Tôn Đản,108.18984,16.016174,83.0,7.0,11.857142857142858,1,1,6.0,['2'],1850000000
Phường Hòa Thọ Tây,Đường Tôn Đản,108.18984,16.016174,80.0,8.0,10.0,1,1,6.0,"['2', ' 3']",1850000000
Phường Thanh Khê Đông,Đường Yên Khê 2,108.18229,16.071371,40.0,5.0,8.0,1,1,2.0,['2'],1850000000
Phường Hoà Quý,Trần Đại Nghĩa,108.25671,15.98648,100.0,5.0,20.0,2,1,6.0,['2'],1850000000
Phường Hòa Phát,Đường Tôn Đản,108.183365,16.04226,60.0,5.0,12.0,1,1,1.0,['3'],1850000000
Phường Hoà Quý,Đường Bình Kỳ,108.23845,16.000658,91.0,5.0,18.2,1,1,6.0,['3'],1870000000
Phường Hoà Quý,Đường Mai Đăng Chơn,108.24111,15.986198,250.0,10.0,25.0,1,1,6.0,['2'],1870000000
Phường Hòa Minh,Đường Tô Hiệu,108.16584,16.063051,68.0,6.5,10.0,1,1,3.0,['6'],1890000000
Phường Hòa Minh,Đường Tô Hiệu,108.16584,16.063051,68.0,6.5,10.0,1,1,2.0,['1'],1890000000
Phường Hòa An,Đường Nguyễn Đình Tứ,108.17651,16.049858,67.0,4.5,15.0,1,1,7.0,"['3', ' 2']",1890000000
Xã Hòa Liên,Đường Hoà Liên 5,108.10685,16.093761,100.0,5.0,20.0,1,1,4.0,['3'],1900000000
Phường Hoà Quý,Đường Mai Đăng Chơn,108.24111,15.986198,92.0,5.0,18.4,1,1,5.0,['2'],1900000000
Phường Hòa Phát,Bùi Vịnh,108.19739,16.01949,80.0,5.0,16.0,1,1,5.0,"['3', ' 6']",1900000000
